City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
269,usinsk,65.9939,57.5281,-21.63,89,11,4.02,RU,1713749193
270,rokytne,51.2796,27.214,5.02,90,100,7.16,UA,1713749506
271,long beach,33.767,-118.1892,24.05,82,0,5.66,US,1713749500
272,minot air force base,48.4209,-101.3391,16.1,27,0,5.66,US,1713749329
273,vadso,70.0744,29.7487,-5.91,68,75,5.66,NO,1713749120
274,sambava,-14.2667,50.1667,24.59,92,51,2.7,MG,1713749177
275,montlucon,46.3333,2.6,0.39,94,18,1.35,FR,1713749507
276,tangalle,6.024,80.7911,27.09,86,100,2.58,LK,1713749120
277,tralee,52.2704,-9.7026,10.51,85,100,1.18,IE,1713749135
278,pitkyaranta,61.5734,31.4792,-1.38,93,100,6.8,RU,1713749507
279,barra de santo antonio,-9.4047,-35.5072,25.6,84,96,2.06,BR,1713749141
280,massenya,11.4039,16.1705,32.71,15,33,3.17,TD,1713749509
281,zemio,5.0314,25.1361,21.71,84,12,0.77,CF,1713749163
282,lakhtinskiy,59.9911,30.1597,3.8,92,100,2.24,RU,1713749510
283,tsiombe,-25.3,45.4833,17.94,92,0,0.73,MG,1713749320
284,hats'avan,39.4641,45.9705,8.0,61,2,0.66,AM,1713749511
285,beira,-19.8436,34.8389,20.05,88,0,1.03,MZ,1713749513
286,ihosy,-22.4,46.1167,19.3,88,92,1.91,MG,1713749513
287,huarmey,-10.0681,-78.1522,21.46,85,87,3.11,PE,1713749137
288,juneau,58.3019,-134.4197,13.0,35,100,4.12,US,1713749254
289,chui,-33.6971,-53.4616,19.21,92,100,3.85,UY,1713749514
290,molde,62.7375,7.1591,2.62,80,100,3.6,NO,1713749515
291,alghero,40.5589,8.3181,10.05,81,0,1.54,IT,1713749515
292,dudinka,69.4058,86.1778,-19.07,100,95,0.89,RU,1713749140
293,colonia,50.9333,6.95,3.87,81,0,1.54,DE,1713749085
294,san patricio,28.017,-97.5169,21.58,61,61,5.72,US,1713749181
295,n'zeto,-7.2312,12.8666,26.08,90,100,2.49,AO,1713749517
296,dwarka,22.2394,68.9678,26.58,67,0,5.0,IN,1713749517
297,xinyuan,37.3,99.0,3.3,34,100,1.94,CN,1713749519
298,villa gesell,-37.2639,-56.973,15.59,57,100,9.35,AR,1713749366
299,port macquarie,-31.4333,152.9167,22.16,58,80,3.82,AU,1713749253
300,altai,46.3722,96.2583,-3.86,25,0,1.14,MN,1713749321
301,souillac,-20.5167,57.5167,24.21,100,40,0.0,MU,1713749521
302,vorkuta,67.5,64.0,-17.77,98,100,4.11,RU,1713749197
303,plastun,44.7561,136.2939,6.56,67,100,2.59,RU,1713749521
304,key west,24.5557,-81.7826,27.0,75,75,2.57,US,1713749316
305,muroto-misakicho,33.2833,134.15,18.66,92,100,3.46,JP,1713749521
306,praia da vitoria,38.7333,-27.0667,17.14,77,75,1.38,PT,1713749324
307,forest,37.3638,-79.2897,8.05,84,0,0.0,US,1713749522
308,bamboo flat,11.7,92.7167,27.05,89,88,1.03,IN,1713749186
309,vershino-darasunskiy,52.35,115.5167,0.91,85,100,5.85,RU,1713749523
310,st. john's,47.5649,-52.7093,4.66,95,75,4.63,CA,1713748833
311,lone grove,34.1754,-97.2628,13.99,58,0,1.54,US,1713749524
312,port augusta,-32.5,137.7667,22.52,25,3,1.53,AU,1713749209
313,camana,-16.6228,-72.7111,21.2,88,88,2.1,PE,1713749195
314,paphos,34.7667,32.4167,13.88,72,12,2.57,CY,1713749416
315,hami,42.8,93.45,15.05,13,100,10.06,CN,1713749198
316,figuig (centre),32.1089,-1.2286,13.88,62,8,4.96,MA,1713749387
317,dinguiraye,11.3,-10.7167,26.26,66,100,3.57,GN,1713749527
318,masvingo,-20.0637,30.8277,14.3,65,0,1.56,ZW,1713749527
319,tongren,27.7172,109.1853,19.26,85,100,0.36,CN,1713749527
320,suva,-18.1416,178.4415,30.71,70,75,4.63,FJ,1713749357
321,raduzhnyy,62.0961,77.475,-8.41,91,84,5.09,RU,1713749527
322,kuala terengganu,5.3302,103.1408,29.97,84,20,1.54,MY,1713749527
323,korla,41.7597,86.1469,19.22,28,0,3.81,CN,1713749329
324,itoman,26.1247,127.6694,27.83,91,75,4.63,JP,1713749138
325,ugoofaaru,5.6667,73.0,29.76,75,91,4.67,MV,1713749532
326,san luis de la loma,17.2706,-100.8939,25.79,68,0,3.28,MX,1713749389
327,gargalianoi,37.0667,21.6333,14.64,69,100,0.93,GR,1713749532
328,trincomalee,8.5711,81.2335,27.99,83,59,2.47,LK,1713749532
329,ivrea,45.4672,7.8762,7.81,75,100,1.05,IT,1713749533
330,celestun,20.8667,-90.4,25.69,82,1,7.06,MX,1713749534
331,santa helena de goias,-17.8136,-50.5969,21.04,63,0,0.88,BR,1713749534
332,imbituba,-28.24,-48.6703,18.03,89,0,1.96,BR,1713749451
333,al bardiyah,31.7561,25.0865,19.0,41,100,5.35,LY,1713749535
334,kodiak,57.79,-152.4072,6.73,76,75,7.2,US,1713749136
335,tarko-sale,64.9225,77.785,-16.17,88,100,7.65,RU,1713749535
336,ad dilam,23.9915,47.1627,26.23,17,0,1.38,SA,1713749535
337,cankaya,39.9179,32.8627,11.07,73,0,0.51,TR,1713749535
338,tchintabaraden,15.8969,5.7985,31.97,26,40,4.65,NE,1713749138
339,itaituba,-4.2761,-55.9836,23.21,99,99,0.34,BR,1713749451
340,hovd,48.0056,91.6419,3.85,36,96,0.98,MN,1713749210
341,ladario,-19.0047,-57.6017,26.2,69,0,0.8,BR,1713749536
342,la passe,45.5549,-0.8967,6.13,86,2,5.93,FR,1713749106
